Dia,Hora de início,Impressões
Domingo,00,105
Domingo,01,76
Domingo,02,12
Domingo,03,36
Domingo,04,40
Domingo,05,61
Domingo,06,30
Domingo,07,5
Domingo,08,4
Domingo,09,3
Domingo,10,10
Domingo,11,11
Domingo,12,9
Domingo,13,20
Domingo,14,12
Domingo,15,9
Domingo,16,14
Domingo,17,14
Domingo,18,13
Domingo,19,10
Domingo,20,12
Domingo,21,10
Domingo,22,8
Domingo,23,10
Segunda-feira,00,322
Segunda-feira,01,106
Segunda-feira,02,76
Segunda-feira,03,43
Segunda-feira,04,0
Segunda-feira,05,1
Segunda-feira,06,1
Segunda-feira,07,1
Segunda-feira,08,1
Segunda-feira,09,4
Segunda-feira,10,4
Segunda-feira,11,11
Segunda-feira,12,13
Segunda-feira,13,2
Segunda-feira,14,6
Segunda-feira,15,11
Segunda-feira,16,9
Segunda-feira,17,12
Segunda-feira,18,8
Segunda-feira,19,22
Segunda-feira,20,17
Segunda-feira,21,11
Segunda-feira,22,9
Segunda-feira,23,11
Terça-feira,00,430
Terça-feira,01,75
Terça-feira,02,92
Terça-feira,03,2
Terça-feira,04,0
Terça-feira,05,1
Terça-feira,06,0
Terça-feira,07,1
Terça-feira,08,4
Terça-feira,09,0
Terça-feira,10,7
Terça-feira,11,3
Terça-feira,12,5
Terça-feira,13,4
Terça-feira,14,5
Terça-feira,15,3
Terça-feira,16,3
Terça-feira,17,9
Terça-feira,18,4
Terça-feira,19,7
Terça-feira,20,9
Terça-feira,21,14
Terça-feira,22,17
Terça-feira,23,23
Quarta-feira,00,151
Quarta-feira,01,115
Quarta-feira,02,11
Quarta-feira,03,2
Quarta-feira,04,0
Quarta-feira,05,3
Quarta-feira,06,0
Quarta-feira,07,1
Quarta-feira,08,2
Quarta-feira,09,2
Quarta-feira,10,1
Quarta-feira,11,0
Quarta-feira,12,0
Quarta-feira,13,0
Quarta-feira,14,0
Quarta-feira,15,6
Quarta-feira,16,16
Quarta-feira,17,9
Quarta-feira,18,28
Quarta-feira,19,16
Quarta-feira,20,28
Quarta-feira,21,28
Quarta-feira,22,8
Quarta-feira,23,25
Quinta-feira,00,3
Quinta-feira,01,2
Quinta-feira,02,0
Quinta-feira,03,2
Quinta-feira,04,0
Quinta-feira,05,1
Quinta-feira,06,3
Quinta-feira,07,1
Quinta-feira,08,6
Quinta-feira,09,10
Quinta-feira,10,11
Quinta-feira,11,13
Quinta-feira,12,7
Quinta-feira,13,7
Quinta-feira,14,131
Quinta-feira,15,216
Quinta-feira,16,90
Quinta-feira,17,82
Quinta-feira,18,95
Quinta-feira,19,95
Quinta-feira,20,70
Quinta-feira,21,7
Quinta-feira,22,24
Quinta-feira,23,11
Sexta-feira,00,90
Sexta-feira,01,17
Sexta-feira,02,25
Sexta-feira,03,24
Sexta-feira,04,27
Sexta-feira,05,59
Sexta-feira,06,59
Sexta-feira,07,60
Sexta-feira,08,74
Sexta-feira,09,69
Sexta-feira,10,88
Sexta-feira,11,108
Sexta-feira,12,0
Sexta-feira,13,0
Sexta-feira,14,0
Sexta-feira,15,0
Sexta-feira,16,0
Sexta-feira,17,0
Sexta-feira,18,0
Sexta-feira,19,0
Sexta-feira,20,0
Sexta-feira,21,0
Sexta-feira,22,0
Sexta-feira,23,0
Sábado,00,2
Sábado,01,2
Sábado,02,10
Sábado,03,3
Sábado,04,1
Sábado,05,8
Sábado,06,20
Sábado,07,17
Sábado,08,39
Sábado,09,85
Sábado,10,6
Sábado,11,11
Sábado,12,18
Sábado,13,24
Sábado,14,12
Sábado,15,19
Sábado,16,13
Sábado,17,15
Sábado,18,30
Sábado,19,22
Sábado,20,13
Sábado,21,13
Sábado,22,11
Sábado,23,17
