Palavra-chave da rede de pesquisa,Tipo de corresp.,Status do critério,Status da campanha,Status do grupo de anúncios,Custo,Cliques,CTR
consorcio de carro,Correspondência ampla,Pausado,Ativado,Ativado,"R$ 64,79",185,"17,55%"
consorcio imobiliario,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 7,85",9,"2,09%"
consórcio de carro contemplado,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 6,41",4,"5,00%"
consorcio para carro,Correspondência ampla,Pausado,Ativado,Ativado,"R$ 6,20",17,"35,42%"
venda consórcio contemplado,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 5,43",3,"6,00%"
carta contemplada de carro,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 5,37",3,"8,57%"
comprar consorcio contemplado,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 3,69",3,"3,61%"
consórcio imobiliário contemplado,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 2,22",2,"2,38%"
consórcios contemplados,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 1,59",2,"1,49%"
cartas contempladas imoveis,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 1,40",2,"13,33%"
carta de crédito contemplada veículos,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 1,14",1,"3,70%"
carta de crédito imobiliário contemplada,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
venda de consorcio contemplado,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
consorcio imovel contemplado,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
consorcio contemplado carro,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
consórcio para casa,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
consorcio de imoveis contemplados,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
carta de crédito contemplada imóvel,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
comprar carta contemplada,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
venda de consorcio em andamento,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
vender consórcio não contemplado,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
consorcio imobiliario contemplado,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
consórcio contemplado de veículos,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
consorcios contemplados imoveis,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
venda de consórcio não contemplado,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
carta de consorcio contemplada imovel,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
carta contemplada de imóvel,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
carta contemplada de moto,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
carta de credito para imovel,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
vender carta de consórcio,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
carta de crédito contemplada para veículo,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
consórcio contemplado disponível,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
carta contemplada pronta para usar,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
carta contemplada com desconto,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
consórcio contemplado entrega imediata,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
carta contemplada oportunidade,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
consórcio já contemplado à venda,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
carta contemplada pronta para uso,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
consórcio de automóvel já contemplado,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
carta contemplada veículo à venda,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
comprar carta de crédito de imóvel,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
carta de imóvel já contemplada,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
venda carta imóvel contemplada,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
carta contemplada em São Paulo,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
comprar carta contemplada RJ,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
carta de carro contemplada Curitiba,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
